5;1;3;3;3;5;5;3;3;3;3;3;3;3;0
5;1;0;3;3;5;0;3;3;5;5;3;3;0;3
5;1;1;0;3;5;0;0;0;3;5;3;3;3;3
5;5;1;0;0;5;0;0;3;3;5;0;3;3;3
5;5;1;4;1;1;0;0;3;3;5;2;2;2;2
0;3;3;0;5;1;1;1;3;5;5;2;0;0;3
3;3;5;5;5;0;0;1;1;5;5;2;0;0;0
3;3;3;5;3;3;3;3;1;1;5;2;0;0;0
3;3;3;0;5;3;3;3;3;1;0;2;0;0;0
0;3;3;3;5;2;2;2;2;4;2;2;0;0;0
3;3;3;3;5;2;0;3;0;1;0;0;0;0;0
0;3;3;5;5;2;0;3;3;1;1;1;0;0;0
0;3;5;5;0;2;0;3;3;0;5;1;1;0;0
0;0;3;5;5;2;0;0;0;0;5;5;1;1;0
2;2;2;2;2;2;0;0;0;0;0;5;5;1;0
;;;;;;;;;;;;;;
Code;Bezeichnung;Kosten;;;;;;;;;;;;
0;Ebene;7;;;;;;;;;;;;
1;Fluss;10;;(nur begrenzt nutzbar);;;;;;;;;;
2;Weg;4;;;;;;;;;;;;
3;Wald;9;;;;;;;;;;;;
4;BrÅuecke;5;;;;;;;;;;;;
5;Felswand;12;;;;;;;;;;;;
